attempts_per_size = 200
vertex_step = 1
max_size = 101
d = 10
starting_vertices = d+1

(11, 1.000000000000002)
(12, 2.000000000000002)
(13, 2.8636926705273207)
(14, 3.343045008885981)
(15, 3.615678252470354)
(16, 3.815002816734889)
(17, 4.042587203437969)
(18, 4.169513014351428)
(19, 4.2916746881206835)
(20, 4.367709491388077)
(21, 4.4623628755953835)
(22, 4.574946529977356)
(23, 4.658425819951155)
(24, 4.687337076513386)
(25, 4.746279593559537)
(26, 4.7951641667161775)
(27, 4.879075999701457)
(28, 4.9117469601590455)
(29, 4.924429576263772)
(30, 5.004290561384383)
(31, 5.026548631246892)
(32, 5.034799894472075)
(33, 5.054124064459991)
(34, 5.072495562504577)
(35, 5.120839800985616)
(36, 5.145813668755866)
(37, 5.145886672107015)
(38, 5.200350624332622)
(39, 5.230163142139161)
(40, 5.226683688465857)
(41, 5.273019051613594)
(42, 5.270977293556781)
(43, 5.294314332816525)
(44, 5.313642301444693)
(45, 5.322582155676909)
(46, 5.3417173787573775)
(47, 5.335820059509866)
(48, 5.362285841366447)
(49, 5.370561671270945)
(50, 5.380835689438973)
(51, 5.3950890638115885)
(52, 5.423191465451793)
(53, 5.4086122529566065)
(54, 5.424507989423234)
(55, 5.42548248212935)
(56, 5.456630342678534)
(57, 5.461317841100257)
(58, 5.484414486910644)
(59, 5.47800514820488)
(60, 5.49490868738367)
(61, 5.491035664082644)
(62, 5.498812256228116)
(63, 5.542147292202382)
(64, 5.511834739647729)
(65, 5.540817298306659)
(66, 5.538335484964555)
(67, 5.535906644437172)
(68, 5.54305454901634)
(69, 5.573198432510163)
(70, 5.5494686107140065)
(71, 5.572494521735991)
(72, 5.5724961417530405)
(73, 5.586546495112115)
(74, 5.585148355314831)
(75, 5.605395456178226)
(76, 5.593036020788969)
(77, 5.596145513581755)
(78, 5.607994553372608)
(79, 5.622113949546255)
(80, 5.608911192441608)
(81, 5.622179631512235)
(82, 5.612955516945573)
(83, 5.634891063830316)
(84, 5.613974973263342)
(85, 5.63744758799111)
(86, 5.650462766895717)
(87, 5.640668734521865)
(88, 5.641518600890204)
(89, 5.645666326704546)
(90, 5.651828253641544)
(91, 5.6606826561577)
(92, 5.665839171939659)
(93, 5.652852787020287)
(94, 5.660974111878753)
(95, 5.66430292632823)
(96, 5.685017769440786)
(97, 5.671630940328519)
(98, 5.676753937662605)
(99, 5.682030258972746)
(100, 5.685810957395573)


(11, 1)
(12, 1)
(13, 1)
(14, 1)
(15, 1)
(16, 1)
(17, 1)
(18, 1)
(19, 1)
(20, 1)
(21, 1)
(22, 1)
(23, 1)
(24, 1)
(25, 1)
(26, 1)
(27, 1)
(28, 1)
(29, 1)
(30, 1)
(31, 1)
(32, 1)
(33, 1)
(34, 1)
(35, 0.995)
(36, 1)
(37, 1)
(38, 1)
(39, 1)
(40, 1)
(41, 1)
(42, 1)
(43, 0.99)
(44, 1)
(45, 0.995)
(46, 1)
(47, 0.995)
(48, 1)
(49, 1)
(50, 0.995)
(51, 0.995)
(52, 1)
(53, 1)
(54, 0.995)
(55, 1)
(56, 1)
(57, 1)
(58, 0.99)
(59, 1)
(60, 0.995)
(61, 1)
(62, 0.995)
(63, 0.99)
(64, 0.995)
(65, 1)
(66, 0.995)
(67, 0.99)
(68, 0.995)
(69, 0.985)
(70, 0.99)
(71, 1)
(72, 0.99)
(73, 1)
(74, 0.985)
(75, 1)
(76, 0.995)
(77, 0.995)
(78, 0.99)
(79, 1)
(80, 1)
(81, 0.995)
(82, 0.99)
(83, 1)
(84, 0.985)
(85, 0.995)
(86, 1)
(87, 0.995)
(88, 1)
(89, 0.985)
(90, 0.995)
(91, 0.99)
(92, 0.995)
(93, 0.985)
(94, 0.995)
(95, 0.99)
(96, 0.99)
(97, 0.995)
(98, 0.985)
(99, 0.99)
(100, 0.995)



----------------------------
attempts_per_size = 200
vertex_step = 50
max_size = 3001
d = 10
starting_vertices = 100


(100, 5.686139652944861)
(150, 5.785432931427472)
(200, 5.835349215054772)
(250, 5.867317404734309)
(300, 5.88486927360212)
(350, 5.9023026117038215)
(400, 5.913212859630554)
(450, 5.922685744322856)
(500, 5.928547835669209)
(550, 5.9296667734764)
(600, 5.941613215517891)
(650, 5.9427024885231265)
(700, 5.942505935005001)
(750, 5.948141068402964)
(800, 5.9549581275651216)
(850, 5.958913348664541)
(900, 5.958956616568422)
(950, 5.958425499680292)
(1000, 5.962059240886227)
(1050, 5.962796148343844)
(1100, 5.96166475587038)
(1150, 5.966877112024945)
(1200, 5.965282769760851)
(1250, 5.966843762991582)
(1300, 5.9691124860135405)
(1350, 5.970973458476566)
(1400, 5.972265122718802)
(1450, 5.974042491594332)
(1500, 5.975431995844639)
(1550, 5.975056129972603)
(1600, 5.976747099055709)
(1650, 5.9765323562635535)
(1700, 5.975004415910603)
(1750, 5.97573529467497)
(1800, 5.974179071342276)
(1850, 5.976721913846351)
(1900, 5.975992669954539)
(1950, 5.9810584050236955)
(2000, 5.979072697985916)
(2050, 5.980662462852809)
(2100, 5.979660899241224)
(2150, 5.980305903489956)
(2200, 5.982904093636856)
(2250, 5.981820634572505)
(2300, 5.9818540269359906)
(2350, 5.983627856916562)
(2400, 5.982970684974021)
(2450, 5.981411118808527)
(2500, 5.982713015208365)
(2550, 5.981939107334326)
(2600, 5.9833936672281824)
(2650, 5.981996193730753)
(2700, 5.984181479895011)
(2750, 5.984345426920909)
(2800, 5.984010651459429)
(2850, 5.9844970798893815)
(2900, 5.984834342795506)
(2950, 5.985289253153749)



